RowNumber,CustomerId,Surname,Geography,HasCrCard,IsActiveMember,Gender,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Exited
1,15634602,Hargrave,France,1,1,Female,619,42,2,0,1,101348.88,1
2,15647311,Hill,Spain,0,1,Female,608,41,1,83807.86,1,112542.58,0
3,15619304,Onio,France,1,0,Female,502,42,8,159660.8,3,113931.57,1
4,15701354,Boni,France,0,0,Female,699,39,1,0,2,93826.63,0
5,15737888,Mitchell,Spain,1,1,Female,850,43,2,125510.82,1,79084.1,0
6,15574012,Chu,Spain,1,0,Male,645,44,8,113755.78,2,149756.71,1
7,15592531,Bartlett,France,1,1,Male,822,50,7,0,2,10062.8,0
8,15656148,Obinna,Germany,1,0,Female,376,29,4,115046.74,4,119346.88,1
9,15792365,He,France,0,1,Male,501,44,4,142051.07,2,74940.5,0
10,15592389,H?,France,1,1,Male,684,27,2,134603.88,1,71725.73,0
11,15767821,Bearce,France,0,0,Male,528,31,6,102016.72,2,80181.12,0
12,15737173,Andrews,Spain,1,0,Male,497,24,3,0,2,76390.01,0
13,15632264,Kay,France,1,0,Female,476,34,10,0,2,26260.98,0
14,15691483,Chin,France,0,0,Female,549,25,5,0,2,190857.79,0
15,15600882,Scott,Spain,1,1,Female,635,35,7,0,2,65951.65,0
16,15643966,Goforth,Germany,0,1,Male,616,45,3,143129.41,2,64327.26,0
17,15737452,Romeo,Germany,1,0,Male,653,58,1,132602.88,1,5097.67,1
18,15788218,Henderson,Spain,1,1,Female,549,24,9,0,2,14406.41,0
19,15661507,Muldrow,Spain,0,0,Male,587,45,6,0,1,158684.81,0
20,15568982,Hao,France,1,1,Female,726,24,6,0,2,54724.03,0
21,15577657,McDonald,France,1,1,Male,732,41,8,0,2,170886.17,0
22,15597945,Dellucci,Spain,1,0,Female,636,32,8,0,2,138555.46,0
23,15699309,Gerasimov,Spain,1,0,Female,510,38,4,0,1,118913.53,1
24,15725737,Mosman,France,0,1,Male,669,46,3,0,2,8487.75,0
25,15625047,Yen,France,1,1,Female,846,38,5,0,1,187616.16,0
26,15738191,Maclean,France,0,1,Male,577,25,3,0,2,124508.29,0
27,15736816,Young,Germany,1,1,Male,756,36,2,136815.64,1,170041.95,0
28,15700772,Nebechi,France,0,0,Male,571,44,9,0,2,38433.35,0
29,15728693,McWilliams,Germany,1,1,Female,574,43,3,141349.43,1,100187.43,0
30,15656300,Lucciano,France,1,1,Male,411,29,0,59697.17,2,53483.21,0
31,15589475,Azikiwe,Spain,1,0,Female,591,39,3,0,3,140469.38,1
32,15706552,Odinakachukwu,France,0,1,Male,533,36,7,85311.7,1,156731.91,0
33,15750181,Sanderson,Germany,0,0,Male,553,41,9,110112.54,2,81898.81,0
34,15659428,Maggard,Spain,1,1,Female,520,42,6,0,2,34410.55,0
35,15732963,Clements,Spain,1,1,Female,722,29,9,0,2,142033.07,0
36,15794171,Lombardo,France,1,0,Female,475,45,0,134264.04,1,27822.99,1
37,15788448,Watson,Spain,0,1,Male,490,31,3,145260.23,1,114066.77,0
38,15729599,Lorenzo,Spain,0,1,Male,804,33,7,76548.6,1,98453.45,0
39,15717426,Armstrong,France,1,1,Male,850,36,7,0,1,40812.9,0
40,15585768,Cameron,Germany,0,1,Male,582,41,6,70349.48,2,178074.04,0
41,15619360,Hsiao,Spain,1,0,Male,472,40,4,0,1,70154.22,0
42,15738148,Clarke,France,0,0,Female,465,51,8,122522.32,1,181297.65,1
43,15687946,Osborne,France,1,1,Female,556,61,2,117419.35,1,94153.83,0
44,15755196,Lavine,France,0,0,Female,834,49,2,131394.56,1,194365.76,1
45,15684171,Bianchi,Spain,1,1,Female,660,61,5,155931.11,1,158338.39,0
46,15754849,Tyler,Germany,1,1,Female,776,32,4,109421.13,2,126517.46,0
47,15602280,Martin,Germany,1,1,Female,829,27,9,112045.67,1,119708.21,1
48,15771573,Okagbue,Germany,1,1,Female,637,39,9,137843.8,1,117622.8,1
49,15766205,Yin,Germany,0,1,Male,550,38,2,103391.38,1,90878.13,0
50,15771873,Buccho,Germany,1,0,Female,776,37,2,103769.22,2,194099.12,0
51,15616550,Chidiebele,Germany,1,0,Male,698,44,10,116363.37,2,198059.16,0
52,15768193,Trevisani,Germany,0,0,Male,585,36,5,146050.97,2,86424.57,0
53,15683553,O'Brien,France,0,0,Female,788,33,5,0,2,116978.19,0
54,15702298,Parkhill,Germany,0,0,Male,655,41,8,125561.97,1,164040.94,1
55,15569590,Yoo,Germany,1,0,Male,601,42,1,98495.72,1,40014.76,1
56,15760861,Phillipps,France,1,1,Male,619,43,1,125211.92,1,113410.49,0
57,15630053,Tsao,France,1,0,Male,656,45,5,127864.4,1,87107.57,0
58,15647091,Endrizzi,Germany,0,0,Male,725,19,0,75888.2,1,45613.75,0
59,15623944,T'ien,Spain,1,0,Female,511,66,4,0,1,1643.11,1
60,15804771,Velazquez,France,1,1,Male,614,51,4,40685.92,1,46775.28,0
61,15651280,Hunter,Germany,0,0,Male,742,35,5,136857,1,84509.57,0
62,15773469,Clark,Germany,0,0,Female,687,27,9,152328.88,2,126494.82,0
63,15702014,Jeffrey,Spain,0,0,Male,555,33,1,56084.69,2,178798.13,0
64,15751208,Pirozzi,Spain,1,1,Male,684,56,8,78707.16,1,99398.36,0
65,15592461,Jackson,Germany,1,1,Male,603,26,4,109166.37,1,92840.67,0
66,15789484,Hammond,Germany,1,1,Female,751,36,6,169831.46,2,27758.36,0
67,15696061,Brownless,Germany,1,0,Female,581,34,1,101633.04,1,110431.51,0
68,15641582,Chibugo,Germany,1,1,Male,735,43,10,123180.01,2,196673.28,0
69,15638424,Glauert,Germany,0,1,Female,661,35,5,150725.53,2,113656.85,0
70,15755648,Pisano,France,1,0,Female,675,21,8,98373.26,1,18203,0
71,15703793,Konovalova,Germany,1,0,Male,738,58,2,133745.44,4,28373.86,1
72,15620344,McKee,France,1,0,Male,813,29,6,0,1,33953.87,0
73,15812518,Palermo,Spain,0,1,Female,657,37,0,163607.18,1,44203.55,0
74,15779052,Ballard,Germany,1,1,Female,604,25,5,157780.84,2,58426.81,0
75,15770811,Wallace,France,0,1,Male,519,36,9,0,2,145562.4,0
76,15780961,Cavenagh,France,1,0,Female,735,21,1,178718.19,2,22388,0
77,15614049,Hu,France,1,1,Male,664,55,8,0,2,139161.64,0
78,15662085,Read,France,1,1,Female,678,32,9,0,1,148210.64,0
79,15575185,Bushell,Spain,0,1,Male,757,33,5,77253.22,1,194239.63,0
80,15803136,Postle,Germany,1,0,Female,416,41,10,122189.66,2,98301.61,0
81,15706021,Buley,France,0,0,Female,665,34,1,96645.54,2,171413.66,0
82,15663706,Leonard,France,1,0,Female,777,32,2,0,1,136458.19,1
83,15641732,Mills,France,0,0,Female,543,36,3,0,2,26019.59,0
84,15701164,Onyeorulu,France,1,1,Female,506,34,4,90307.62,1,159235.29,0
85,15738751,Beit,France,1,0,Female,493,46,4,0,2,1907.66,0
86,15805254,Ndukaku,Spain,1,1,Female,652,75,10,0,2,114675.75,0
87,15762418,Gant,Spain,1,0,Male,750,22,3,121681.82,1,128643.35,1
88,15625759,Rowley,France,1,0,Male,729,30,9,0,2,151869.35,0
89,15622897,Sharpe,France,1,0,Female,646,46,4,0,3,93251.42,1
90,15767954,Osborne,Germany,1,1,Female,635,28,3,81623.67,2,156791.36,0
91,15757535,Heap,Spain,1,1,Female,647,44,5,0,3,174205.22,1
92,15731511,Ritchie,France,1,0,Male,808,45,7,118626.55,2,147132.46,0
93,15809248,Cole,France,1,0,Female,524,36,10,0,2,109614.57,0
94,15640635,Capon,France,1,1,Male,769,29,8,0,2,172290.61,0
95,15676966,Capon,Spain,0,1,Male,730,42,4,0,2,85982.47,0
96,15699461,Fiorentini,Spain,0,1,Male,515,35,10,176273.95,1,121277.78,0
97,15738721,Graham,Spain,0,1,Male,773,41,9,102827.44,1,64595.25,0
98,15693683,Yuille,Germany,1,1,Male,814,29,8,97086.4,2,197276.13,0
99,15604348,Allard,Spain,0,0,Male,710,22,8,0,2,99645.04,0
100,15633059,Fanucci,France,0,0,Male,413,34,9,0,2,6534.18,0
101,15808582,Fu,France,1,1,Female,665,40,6,0,1,161848.03,0
102,15743192,Hung,France,0,0,Female,623,44,6,0,2,167162.43,0
103,15580146,Hung,France,1,0,Male,738,31,9,82674.15,1,41970.72,0
104,15776605,Bradley,Spain,1,0,Male,528,36,7,0,2,60536.56,0
105,15804919,Dunbabin,Spain,1,1,Female,670,65,1,0,1,177655.68,1
106,15613854,Mauldon,Spain,1,1,Female,622,46,4,107073.27,2,30984.59,1
107,15599195,Stiger,Germany,1,1,Male,582,32,1,88938.62,1,10054.53,0
108,15812878,Parsons,Germany,0,1,Female,785,36,2,99806.85,1,36976.52,0
109,15602312,Walkom,Spain,0,0,Male,605,33,5,150092.8,1,71862.79,0
110,15744689,T'ang,Germany,1,0,Male,479,35,9,92833.89,1,99449.86,1
111,15803526,Eremenko,Germany,0,1,Male,685,30,3,90536.81,1,63082.88,0
112,15665790,Rowntree,Germany,1,0,Male,538,39,7,108055.1,2,27231.26,0
113,15715951,Thorpe,France,0,0,Male,562,42,2,100238.35,1,86797.41,0
114,15591100,Chiemela,Spain,0,1,Male,675,36,9,106190.55,1,22994.32,0
115,15609618,Fanucci,Germany,0,1,Male,721,28,9,154475.54,2,101300.94,1
116,15675522,Ko,Germany,1,1,Female,628,30,9,132351.29,2,74169.13,0
117,15705512,Welch,Germany,1,0,Female,668,37,6,167864.4,1,115638.29,0
118,15698028,Duncan,France,1,0,Female,506,41,1,0,2,31766.3,0
119,15661670,Chidozie,Germany,1,0,Female,524,31,8,107818.63,1,199725.39,1
120,15600781,Wu,Germany,1,0,Male,699,34,4,185173.81,2,120834.48,0
121,15682472,Culbreth,France,0,0,Male,828,34,8,129433.34,2,38131.77,0
122,15580203,Kennedy,Spain,0,0,Male,674,39,6,120193.42,1,100130.95,0
123,15690673,Cameron,France,1,0,Female,656,39,6,0,2,141069.88,0
124,15760085,Calabresi,Germany,1,1,Female,684,48,10,126384.42,1,198129.36,0
125,15779659,Zetticci,France,0,0,Female,625,28,3,0,1,183646.41,0
126,15627360,Fuller,France,1,0,Male,432,42,9,152603.45,1,110265.24,1
127,15671137,MacDonald,France,0,1,Female,549,52,1,0,1,8636.05,1
128,15782688,Piccio,Germany,1,0,Male,625,56,0,148507.24,1,46824.08,1
129,15575492,Kennedy,France,1,0,Female,828,41,7,0,2,171378.77,0
130,15591607,Fernie,France,1,0,Male,770,24,9,101827.07,1,167256.35,0
131,15740404,He,France,1,1,Female,758,34,3,0,2,124226.16,0
132,15718369,Kaodilinakachukwu,Germany,1,1,Female,795,33,9,130862.43,1,114935.21,0
133,15677871,Cocci,France,1,1,Male,687,38,9,122570.87,1,35608.88,0
134,15642004,Alekseeva,France,0,1,Male,686,25,1,0,2,16459.37,0
135,15712543,Chinweike,Germany,1,1,Male,789,39,7,124828.46,2,124411.08,0
136,15584518,Arthur,Germany,1,1,Female,589,50,5,144895.05,2,34941.23,0
137,15802381,Li,Germany,0,1,Female,461,34,5,63663.93,1,167784.28,0
138,15610156,Ma,France,0,1,Male,637,40,2,133463.1,1,93165.34,0
139,15594408,Chia,Spain,1,0,Female,584,48,2,213146.2,1,75161.25,1
140,15640905,Vasin,Spain,0,1,Female,579,35,1,129490.36,2,8590.83,1
141,15698932,Groves,Germany,1,0,Male,756,44,10,137452.09,1,189543.9,0
142,15724944,Tien,France,1,1,Male,663,34,7,0,2,180427.24,0
143,15628145,Forwood,France,1,1,Female,682,43,5,125851.93,1,193318.33,0
144,15713483,Greeves,Spain,1,0,Male,793,52,2,0,1,159123.82,1
145,15612350,Taylor,France,1,0,Female,691,31,5,40915.55,1,126213.84,1
146,15800703,Madukwe,Spain,1,1,Female,485,21,5,113157.22,1,54141.5,0
147,15705707,Bennelong,Spain,1,0,Female,635,29,8,138296.94,2,141075.51,0
148,15754105,Olisanugo,France,0,0,Male,650,37,5,106967.18,1,24495.03,0
149,15703264,Chukwufumnanya,France,1,0,Male,735,44,9,120681.63,1,74836.34,0
150,15794413,Harris,France,0,1,Male,416,32,0,0,2,878.87,0
151,15650237,Morgan,Spain,1,0,Female,754,32,7,0,2,89520.75,0
152,15759618,Alexeeva,France,1,0,Female,535,48,9,0,1,149892.79,1
153,15811589,Metcalfe,Spain,1,0,Male,716,42,8,0,2,180800.42,0
154,15689044,Humphries,France,1,0,Male,539,37,2,127609.59,1,98646.22,0
155,15709368,Milne,France,1,1,Female,614,43,6,0,2,109041.53,0
156,15679145,Chou,Spain,1,0,Male,706,57,7,0,1,17941.16,1
157,15655007,Li,France,0,0,Female,758,33,7,0,2,82996.47,0
158,15623595,Clayton,Spain,1,1,Female,586,28,2,0,2,92067.35,0
159,15589975,Maclean,France,0,1,Female,646,73,6,97259.25,1,104719.66,0
160,15804017,Chigolum,Germany,0,0,Female,631,33,4,123246.7,1,112687.57,0
161,15692132,Wilkinson,Spain,0,1,Female,717,22,6,101060.25,1,84699.56,0
162,15641122,Wei,France,1,0,Male,684,30,2,0,2,83473.82,0
163,15630910,Treacy,France,0,0,Female,800,49,7,108007.36,1,47125.11,0
164,15680772,Hu,Spain,1,1,Female,721,36,2,0,2,106977.8,0
165,15658929,Taverner,Spain,1,0,Male,683,29,0,133702.89,1,55582.54,1
166,15585388,Sherman,Germany,1,1,Male,660,31,9,125189.75,2,139874.43,0
167,15724623,Taubman,Germany,1,0,Female,704,24,7,113034.22,1,162503.48,1
168,15588537,Robinson,Spain,1,0,Female,615,41,9,109013.23,1,196499.96,0
169,15574692,Pinto,Spain,1,0,Female,667,39,2,0,2,40721.24,1
170,15611325,Wood,Germany,0,0,Male,682,24,9,57929.81,2,53134.3,0
171,15587562,Hawkins,France,1,0,Female,484,29,4,130114.39,1,164017.89,0
172,15613172,Sun,Germany,1,0,Male,628,27,5,95826.49,2,155996.96,0
